Location,Indicator,Period,First Tooltip
Ethiopia,Reported number of people requiring interventions against NTDs,2015,75106161
Fiji,Reported number of people requiring interventions against NTDs,2015,898821
Finland,Reported number of people requiring interventions against NTDs,2015,2
France,Reported number of people requiring interventions against NTDs,2015,222
Gabon,Reported number of people requiring interventions against NTDs,2015,1560166
Gambia,Reported number of people requiring interventions against NTDs,2015,171850
Georgia,Reported number of people requiring interventions against NTDs,2015,65
Germany,Reported number of people requiring interventions against NTDs,2015,867
Ghana,Reported number of people requiring interventions against NTDs,2015,15536903
Greece,Reported number of people requiring interventions against NTDs,2015,81
Grenada,Reported number of people requiring interventions against NTDs,2015,25
Guatemala,Reported number of people requiring interventions against NTDs,2015,3321447
Guinea,Reported number of people requiring interventions against NTDs,2015,7973039
Guinea-Bissau,Reported number of people requiring interventions against NTDs,2015,1731541
Guyana,Reported number of people requiring interventions against NTDs,2015,747901
Haiti,Reported number of people requiring interventions against NTDs,2015,9831829
Honduras,Reported number of people requiring interventions against NTDs,2015,2399777
Hungary,Reported number of people requiring interventions against NTDs,2015,14
Iceland,Reported number of people requiring interventions against NTDs,2015,0
India,Reported number of people requiring interventions against NTDs,2015,668000000
Indonesia,Reported number of people requiring interventions against NTDs,2015,111000000
Iran (Islamic Republic of),Reported number of people requiring interventions against NTDs,2015,18692
Iraq,Reported number of people requiring interventions against NTDs,2015,2107072
Ireland,Reported number of people requiring interventions against NTDs,2015,5
Israel,Reported number of people requiring interventions against NTDs,2015,231
Italy,Reported number of people requiring interventions against NTDs,2015,234
Jamaica,Reported number of people requiring interventions against NTDs,2015,343044
Japan,Reported number of people requiring interventions against NTDs,2015,11
Jordan,Reported number of people requiring interventions against NTDs,2015,70
Kazakhstan,Reported number of people requiring interventions against NTDs,2015,25
Kenya,Reported number of people requiring interventions against NTDs,2015,13642040
Kiribati,Reported number of people requiring interventions against NTDs,2015,33294
Kuwait,Reported number of people requiring interventions against NTDs,2015,0
Kyrgyzstan,Reported number of people requiring interventions against NTDs,2015,111901
Lao People's Democratic Republic,Reported number of people requiring interventions against NTDs,2015,2183066
Latvia,Reported number of people requiring interventions against NTDs,2015,14
Lebanon,Reported number of people requiring interventions against NTDs,2015,6
Lesotho,Reported number of people requiring interventions against NTDs,2015,523534
Liberia,Reported number of people requiring interventions against NTDs,2015,3812536
Libya,Reported number of people requiring interventions against NTDs,2015,1640
Lithuania,Reported number of people requiring interventions against NTDs,2015,42
Luxembourg,Reported number of people requiring interventions against NTDs,2015,0
Madagascar,Reported number of people requiring interventions against NTDs,2015,21298533
Malawi,Reported number of people requiring interventions against NTDs,2015,11426323
Malaysia,Reported number of people requiring interventions against NTDs,2015,174457
Maldives,Reported number of people requiring interventions against NTDs,2015,1892
Mali,Reported number of people requiring interventions against NTDs,2015,18291866
Malta,Reported number of people requiring interventions against NTDs,2015,1
Marshall Islands,Reported number of people requiring interventions against NTDs,2015,28996
Mauritania,Reported number of people requiring interventions against NTDs,2015,690268
Mauritius,Reported number of people requiring interventions against NTDs,2015,0
Mexico,Reported number of people requiring interventions against NTDs,2015,9923501
Micronesia (Federated States of),Reported number of people requiring interventions against NTDs,2015,72590
Monaco,Reported number of people requiring interventions against NTDs,2015,0
Mongolia,Reported number of people requiring interventions against NTDs,2015,43
Montenegro,Reported number of people requiring interventions against NTDs,2015,5
Morocco,Reported number of people requiring interventions against NTDs,2015,2917
Mozambique,Reported number of people requiring interventions against NTDs,2015,23150013
Myanmar,Reported number of people requiring interventions against NTDs,2015,41292086
Namibia,Reported number of people requiring interventions against NTDs,2015,1073269
Nauru,Reported number of people requiring interventions against NTDs,2015,2822
Nepal,Reported number of people requiring interventions against NTDs,2015,18850311
Netherlands,Reported number of people requiring interventions against NTDs,2015,64
New Zealand,Reported number of people requiring interventions against NTDs,2015,3
Nicaragua,Reported number of people requiring interventions against NTDs,2015,933780
Niger,Reported number of people requiring interventions against NTDs,2015,15779050
Nigeria,Reported number of people requiring interventions against NTDs,2015,141000000
Niue,Reported number of people requiring interventions against NTDs,2015,0
Norway,Reported number of people requiring interventions against NTDs,2015,100
Oman,Reported number of people requiring interventions against NTDs,2015,5
Pakistan,Reported number of people requiring interventions against NTDs,2015,31056287
Palau,Reported number of people requiring interventions against NTDs,2015,15
Panama,Reported number of people requiring interventions against NTDs,2015,437597
Papua New Guinea,Reported number of people requiring interventions against NTDs,2015,6425746
Paraguay,Reported number of people requiring interventions against NTDs,2015,795686
Peru,Reported number of people requiring interventions against NTDs,2015,2831613
Philippines,Reported number of people requiring interventions against NTDs,2015,43430927
Poland,Reported number of people requiring interventions against NTDs,2015,59
Portugal,Reported number of people requiring interventions against NTDs,2015,20
Qatar,Reported number of people requiring interventions against NTDs,2015,26
Republic of Korea,Reported number of people requiring interventions against NTDs,2015,257
Republic of Moldova,Reported number of people requiring interventions against NTDs,2015,0
The former Yugoslav Republic of Macedonia,Reported number of people requiring interventions against NTDs,2015,4
Romania,Reported number of people requiring interventions against NTDs,2015,26
Russian Federation,Reported number of people requiring interventions against NTDs,2015,6
Rwanda,Reported number of people requiring interventions against NTDs,2015,5065110
Saint Kitts and Nevis,Reported number of people requiring interventions against NTDs,2015,5
Saint Lucia,Reported number of people requiring interventions against NTDs,2015,33729
Saint Vincent and the Grenadines,Reported number of people requiring interventions against NTDs,2015,13
Samoa,Reported number of people requiring interventions against NTDs,2015,61325
San Marino,Reported number of people requiring interventions against NTDs,2015,0
Sao Tome and Principe,Reported number of people requiring interventions against NTDs,2015,199686
Saudi Arabia,Reported number of people requiring interventions against NTDs,2015,1496
Senegal,Reported number of people requiring interventions against NTDs,2015,11849373
Serbia,Reported number of people requiring interventions against NTDs,2015,0
Seychelles,Reported number of people requiring interventions against NTDs,2015,0
Sierra Leone,Reported number of people requiring interventions against NTDs,2015,7500446
Singapore,Reported number of people requiring interventions against NTDs,2015,10473
Slovakia,Reported number of people requiring interventions against NTDs,2015,7
Slovenia,Reported number of people requiring interventions against NTDs,2015,10
Solomon Islands,Reported number of people requiring interventions against NTDs,2015,534850
Somalia,Reported number of people requiring interventions against NTDs,2015,5015936
South Africa,Reported number of people requiring interventions against NTDs,2015,6696701
South Sudan,Reported number of people requiring interventions against NTDs,2015,9706562
Spain,Reported number of people requiring interventions against NTDs,2015,299
Sri Lanka,Reported number of people requiring interventions against NTDs,2015,33253
Sudan,Reported number of people requiring interventions against NTDs,2015,26533962
Suriname,Reported number of people requiring interventions against NTDs,2015,56918
Sweden,Reported number of people requiring interventions against NTDs,2015,185
Switzerland,Reported number of people requiring interventions against NTDs,2015,0
Syrian Arab Republic,Reported number of people requiring interventions against NTDs,2015,50998
Tajikistan,Reported number of people requiring interventions against NTDs,2015,123178
Thailand,Reported number of people requiring interventions against NTDs,2015,145146
Timor-Leste,Reported number of people requiring interventions against NTDs,2015,1170044
Togo,Reported number of people requiring interventions against NTDs,2015,5586475
Tonga,Reported number of people requiring interventions against NTDs,2015,36871
Trinidad and Tobago,Reported number of people requiring interventions against NTDs,2015,19323
Tunisia,Reported number of people requiring interventions against NTDs,2015,6648
Turkey,Reported number of people requiring interventions against NTDs,2015,2009
Turkmenistan,Reported number of people requiring interventions against NTDs,2015,49
Tuvalu,Reported number of people requiring interventions against NTDs,2015,10550
Uganda,Reported number of people requiring interventions against NTDs,2015,23239105
Ukraine,Reported number of people requiring interventions against NTDs,2015,0
United Arab Emirates,Reported number of people requiring interventions against NTDs,2015,0
United Kingdom of Great Britain and Northern Ireland,Reported number of people requiring interventions against NTDs,2015,452
United Republic of Tanzania,Reported number of people requiring interventions against NTDs,2015,33064128
United States of America,Reported number of people requiring interventions against NTDs,2015,929
Uruguay,Reported number of people requiring interventions against NTDs,2015,19
Uzbekistan,Reported number of people requiring interventions against NTDs,2015,399873
Vanuatu,Reported number of people requiring interventions against NTDs,2015,266041
Venezuela (Bolivarian Republic of),Reported number of people requiring interventions against NTDs,2015,280243
Viet Nam,Reported number of people requiring interventions against NTDs,2015,4468764
Yemen,Reported number of people requiring interventions against NTDs,2015,5840695
Zambia,Reported number of people requiring interventions against NTDs,2015,11830416
Zimbabwe,Reported number of people requiring interventions against NTDs,2015,10346543
