Location,Indicator,Period,First Tooltip
Afghanistan,Reported number of people requiring interventions against NTDs,2015,13765392
Albania,Reported number of people requiring interventions against NTDs,2015,16
Algeria,Reported number of people requiring interventions against NTDs,2015,7561
Andorra,Reported number of people requiring interventions against NTDs,2015,0
Angola,Reported number of people requiring interventions against NTDs,2015,18534219
Antigua and Barbuda,Reported number of people requiring interventions against NTDs,2015,158
Argentina,Reported number of people requiring interventions against NTDs,2015,5406
Armenia,Reported number of people requiring interventions against NTDs,2015,39044
Australia,Reported number of people requiring interventions against NTDs,2015,17476
Austria,Reported number of people requiring interventions against NTDs,2015,65
Azerbaijan,Reported number of people requiring interventions against NTDs,2015,1699962
Bahamas,Reported number of people requiring interventions against NTDs,2015,4127
Bahrain,Reported number of people requiring interventions against NTDs,2015,6
Bangladesh,Reported number of people requiring interventions against NTDs,2015,49839493
Barbados,Reported number of people requiring interventions against NTDs,2015,390
Belarus,Reported number of people requiring interventions against NTDs,2015,0
Belgium,Reported number of people requiring interventions against NTDs,2015,9
Belize,Reported number of people requiring interventions against NTDs,2015,7300
Benin,Reported number of people requiring interventions against NTDs,2015,7029345
Bhutan,Reported number of people requiring interventions against NTDs,2015,227111
Bolivia (Plurinational State of),Reported number of people requiring interventions against NTDs,2015,1883582
Bosnia and Herzegovina,Reported number of people requiring interventions against NTDs,2015,0
Botswana,Reported number of people requiring interventions against NTDs,2015,257169
Brazil,Reported number of people requiring interventions against NTDs,2015,11067291
Brunei Darussalam,Reported number of people requiring interventions against NTDs,2015,9239
Bulgaria,Reported number of people requiring interventions against NTDs,2015,318
Burkina Faso,Reported number of people requiring interventions against NTDs,2015,11658638
Burundi,Reported number of people requiring interventions against NTDs,2015,5601304
Cabo Verde,Reported number of people requiring interventions against NTDs,2015,136792
Cambodia,Reported number of people requiring interventions against NTDs,2015,5610240
Cameroon,Reported number of people requiring interventions against NTDs,2015,20630132
Canada,Reported number of people requiring interventions against NTDs,2015,0
Central African Republic,Reported number of people requiring interventions against NTDs,2015,4096089
Chad,Reported number of people requiring interventions against NTDs,2015,6328205
Chile,Reported number of people requiring interventions against NTDs,2015,40
China,Reported number of people requiring interventions against NTDs,2015,26100630
Colombia,Reported number of people requiring interventions against NTDs,2015,3846506
Comoros,Reported number of people requiring interventions against NTDs,2015,525978
Congo,Reported number of people requiring interventions against NTDs,2015,1346327
Cook Islands,Reported number of people requiring interventions against NTDs,2015,765
Costa Rica,Reported number of people requiring interventions against NTDs,2015,18569
Côte d’Ivoire,Reported number of people requiring interventions against NTDs,2015,18738388
Croatia,Reported number of people requiring interventions against NTDs,2015,11
Cuba,Reported number of people requiring interventions against NTDs,2015,43862
Cyprus,Reported number of people requiring interventions against NTDs,2015,3
Czechia,Reported number of people requiring interventions against NTDs,2015,3
Democratic People's Republic of Korea,Reported number of people requiring interventions against NTDs,2015,6082191
Democratic Republic of the Congo,Reported number of people requiring interventions against NTDs,2015,52564709
Denmark,Reported number of people requiring interventions against NTDs,2015,0
Djibouti,Reported number of people requiring interventions against NTDs,2015,108810
Dominica,Reported number of people requiring interventions against NTDs,2015,7546
Dominican Republic,Reported number of people requiring interventions against NTDs,2015,989731
Ecuador,Reported number of people requiring interventions against NTDs,2015,1943932
Egypt,Reported number of people requiring interventions against NTDs,2015,1640557
El Salvador,Reported number of people requiring interventions against NTDs,2015,702992
Equatorial Guinea,Reported number of people requiring interventions against NTDs,2015,466357
Eritrea,Reported number of people requiring interventions against NTDs,2015,1441264
Estonia,Reported number of people requiring interventions against NTDs,2015,12
Eswatini,Reported number of people requiring interventions against NTDs,2015,331005
