Location,Indicator,Period,First Tooltip
Mali,Reported number of people requiring interventions against NTDs,2016,18605778
Malta,Reported number of people requiring interventions against NTDs,2016,2
Marshall Islands,Reported number of people requiring interventions against NTDs,2016,19594
Mauritania,Reported number of people requiring interventions against NTDs,2016,589697
Mauritius,Reported number of people requiring interventions against NTDs,2016,0
Mexico,Reported number of people requiring interventions against NTDs,2016,9532039
Micronesia (Federated States of),Reported number of people requiring interventions against NTDs,2016,70736
Monaco,Reported number of people requiring interventions against NTDs,2016,0
Mongolia,Reported number of people requiring interventions against NTDs,2016,47
Montenegro,Reported number of people requiring interventions against NTDs,2016,6
Morocco,Reported number of people requiring interventions against NTDs,2016,5014
Mozambique,Reported number of people requiring interventions against NTDs,2016,23920538
Myanmar,Reported number of people requiring interventions against NTDs,2016,39343021
Namibia,Reported number of people requiring interventions against NTDs,2016,1097233
Nauru,Reported number of people requiring interventions against NTDs,2016,2844
Nepal,Reported number of people requiring interventions against NTDs,2016,17552881
Netherlands,Reported number of people requiring interventions against NTDs,2016,38
New Zealand,Reported number of people requiring interventions against NTDs,2016,0
Nicaragua,Reported number of people requiring interventions against NTDs,2016,926646
Niger,Reported number of people requiring interventions against NTDs,2016,15233885
Nigeria,Reported number of people requiring interventions against NTDs,2016,129000000
Niue,Reported number of people requiring interventions against NTDs,2016,1
Norway,Reported number of people requiring interventions against NTDs,2016,67
Oman,Reported number of people requiring interventions against NTDs,2016,0
Pakistan,Reported number of people requiring interventions against NTDs,2016,31683212
Palau,Reported number of people requiring interventions against NTDs,2016,41
Panama,Reported number of people requiring interventions against NTDs,2016,453129
Papua New Guinea,Reported number of people requiring interventions against NTDs,2016,6528722
Paraguay,Reported number of people requiring interventions against NTDs,2016,790833
Peru,Reported number of people requiring interventions against NTDs,2016,2814779
Philippines,Reported number of people requiring interventions against NTDs,2016,49110117
Poland,Reported number of people requiring interventions against NTDs,2016,105
Portugal,Reported number of people requiring interventions against NTDs,2016,19
Qatar,Reported number of people requiring interventions against NTDs,2016,36
Republic of Korea,Reported number of people requiring interventions against NTDs,2016,323
Republic of Moldova,Reported number of people requiring interventions against NTDs,2016,0
The former Yugoslav Republic of Macedonia,Reported number of people requiring interventions against NTDs,2016,5
Romania,Reported number of people requiring interventions against NTDs,2016,22
Russian Federation,Reported number of people requiring interventions against NTDs,2016,5
Rwanda,Reported number of people requiring interventions against NTDs,2016,5190529
Saint Kitts and Nevis,Reported number of people requiring interventions against NTDs,2016,136
Saint Lucia,Reported number of people requiring interventions against NTDs,2016,26921
Saint Vincent and the Grenadines,Reported number of people requiring interventions against NTDs,2016,89
Samoa,Reported number of people requiring interventions against NTDs,2016,61325
San Marino,Reported number of people requiring interventions against NTDs,2016,0
Sao Tome and Principe,Reported number of people requiring interventions against NTDs,2016,192537
Saudi Arabia,Reported number of people requiring interventions against NTDs,2016,1354
Senegal,Reported number of people requiring interventions against NTDs,2016,11635621
Serbia,Reported number of people requiring interventions against NTDs,2016,0
Seychelles,Reported number of people requiring interventions against NTDs,2016,0
Sierra Leone,Reported number of people requiring interventions against NTDs,2016,7651657
Singapore,Reported number of people requiring interventions against NTDs,2016,13098
Slovakia,Reported number of people requiring interventions against NTDs,2016,8
Slovenia,Reported number of people requiring interventions against NTDs,2016,9
Solomon Islands,Reported number of people requiring interventions against NTDs,2016,518106
Somalia,Reported number of people requiring interventions against NTDs,2016,5163752
South Africa,Reported number of people requiring interventions against NTDs,2016,6784419
South Sudan,Reported number of people requiring interventions against NTDs,2016,9991337
Spain,Reported number of people requiring interventions against NTDs,2016,357
Sri Lanka,Reported number of people requiring interventions against NTDs,2016,57572
Sudan,Reported number of people requiring interventions against NTDs,2016,25572281
Suriname,Reported number of people requiring interventions against NTDs,2016,58237
Sweden,Reported number of people requiring interventions against NTDs,2016,252
Switzerland,Reported number of people requiring interventions against NTDs,2016,0
Syrian Arab Republic,Reported number of people requiring interventions against NTDs,2016,47406
Tajikistan,Reported number of people requiring interventions against NTDs,2016,125863
Thailand,Reported number of people requiring interventions against NTDs,2016,64109
Timor-Leste,Reported number of people requiring interventions against NTDs,2016,1167125
Togo,Reported number of people requiring interventions against NTDs,2016,6328077
Tonga,Reported number of people requiring interventions against NTDs,2016,37131
Trinidad and Tobago,Reported number of people requiring interventions against NTDs,2016,19498
Tunisia,Reported number of people requiring interventions against NTDs,2016,6087
Turkey,Reported number of people requiring interventions against NTDs,2016,1497
Turkmenistan,Reported number of people requiring interventions against NTDs,2016,53
Tuvalu,Reported number of people requiring interventions against NTDs,2016,10782
Uganda,Reported number of people requiring interventions against NTDs,2016,23486474
Ukraine,Reported number of people requiring interventions against NTDs,2016,1
United Arab Emirates,Reported number of people requiring interventions against NTDs,2016,40
United Kingdom of Great Britain and Northern Ireland,Reported number of people requiring interventions against NTDs,2016,472
United Republic of Tanzania,Reported number of people requiring interventions against NTDs,2016,26823106
United States of America,Reported number of people requiring interventions against NTDs,2016,1158
Uruguay,Reported number of people requiring interventions against NTDs,2016,1340
Uzbekistan,Reported number of people requiring interventions against NTDs,2016,405951
Vanuatu,Reported number of people requiring interventions against NTDs,2016,271465
Venezuela (Bolivarian Republic of),Reported number of people requiring interventions against NTDs,2016,282294
Viet Nam,Reported number of people requiring interventions against NTDs,2016,6953978
Yemen,Reported number of people requiring interventions against NTDs,2016,5985649
Zambia,Reported number of people requiring interventions against NTDs,2016,11573334
Zimbabwe,Reported number of people requiring interventions against NTDs,2016,9958235
