Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,AdBirthRate,Alcohol,BasicSanitization,CancerEtc,MedDocs,HALE,HIV,InfantMortality,LifeExpectancy,Malaria,MidwifeNursing,MaternalMortality,NeonatalMortality
Burkina Faso,11658638,3.03,17.4,52 [34-74],100.7 [82.53-122.8],37.09,,11.83,18.83,21.9,0.66,53.35,0.19 [0.13-0.28],59.55 [51.74-68.65],60.92,400.1,6.7,343 [241-471],27.99 [20.17-37.32]
Burundi,5601304,5.3,13.6,122 [79-174],67.23 [51.28-87.97],55.56,58.2,7.03,45.88,22.8,0.5,53.96,0.29 [0.2-0.4],45.94 [36.86-57.69],62.05,165.5,6.66,568 [439-733],23.3 [17.29-31.21]
Cabo Verde,136792,0.51,,64 [49-81],19.54 [18.07-21.12],72.87,,5.95,70.47,17.4,7.81,65.25,0.21 [0.15-0.3],16.71 [15.5-18.01],74.88,0.051,9.49,61 [48-76],11.75 [10.49-13.13]
Cambodia,5610240,0.65,24.8,366 [237-523],31.62 [20.56-48.47],69.86,,6.37,53.39,21.3,,60.75,0.08 [0.07-0.09],27.17 [17.63-40.97],69.17,19.94,5.89,178 [134-239],16.87 [10.9-26.39]
Cameroon,20630132,3.25,9.4,212 [137-303],88.46 [78.99-98.77],39.05,,6.17,38.86,21.8,,51.78,1.04 [0.92-1.19],57.35 [52.08-63.1],59.11,254.5,,554 [404-796],28.62 [24.54-33.31]
Canada,0,0.31,20.0,5.2 [4.5-6],5.28 [5.19-5.38],98.77,9.4,8.88,99.36,10.0,,71.15,No data,4.61 [4.52-4.69],81.76,,98.19,11 [8-14],3.52 [3.42-3.62]
Central African Republic,4096089,3.46,,540 [349-771],126.7 [84.35-192.2],33.75,,2.43,25.18,23.7,0.72,44.16,1.5 [1-2.15],89.73 [65.14-121.5],50.53,379.9,2.06,912 [523-1580],42.9 [26.68-69.07]
Chad,6328205,3.67,12.2,144 [93-206],129.4 [109-152.1],29.77,,1.45,8.84,24.1,0.49,50.53,0.45 [0.31-0.59],76.06 [66.94-85.98],57.91,167.3,2.53,1160 [880-1570],35.58 [28.1-44.33]
Chile,40,0.21,45.9,16 [14-19],7.89 [7.62-8.18],98.16,40.6,9.26,99.63,12.5,21.47,69.44,0.27 [0.22-0.32],6.75 [6.51-6.99],79.82,,109.8,14 [13-16],5.1 [4.86-5.34]
China,26100630,1.38,25.3,65 [55-75],10.71 [10.07-11.4],84.21,9.2,7.15,81.68,17.4,17.73,68.01,No data,9.19 [8.64-9.8],76.64,0.0001,22.91,30 [24-36],5.38 [4.88-5.9]
Colombia,3846506,0.36,8.9,31 [24-39],15.62 [12.39-19.58],84.64,64.9,5.78,87.55,15.9,19.74,68.29,0.26 [0.18-0.36],13.44 [10.66-16.75],78.35,6.94,11.65,85 [74-98],8.51 [6.61-10.9]
Comoros,525978,2.43,21.8,35 [22-49],71.88 [39.12-138.7],76.91,,0.88,35.82,23.0,,58.19,<0.01 [<0.01–0.02],54.08 [31.8-96.49],66.45,1.67,,285 [178-447],32.64 [13.25-70.8]
Congo,1346327,1.3,15.0,379 [246-542],54.16 [37.72-77.58],41.39,,7.9,18.94,17.0,,54.9,1.56 [1.03-2.34],38.53 [28.71-51.82],63.11,226.7,7.93,416 [306-560],20.87 [14.09-30.94]
Cook Islands,765,,28.8,0 [0-0],8.73 [5.9-13.06],99.88,67.0,,97.63,,,,,7.47 [5.04-11.24],,,68.18,,4.75 [2.67-7.9]
Costa Rica,18569,0.29,10.8,11 [8.4-14],9.04 [8.79-9.3],98.8,55.9,4.76,97.27,11.6,13.79,70.04,0.18 [0.13-0.24],7.65 [7.44-7.87],80.78,0.0,26.58,28 [25-32],6.21 [5.95-6.49]
Côte d’Ivoire,18738388,4.01,13.8,159 [103-227],,57.58,123.3,2.61,30.57,29.3,,52.52,0.86 [0.67-1.08],,60.2,320.0,4.69,658 [464-930],
Croatia,11,0.19,36.3,13 [11-15],4.93 [4.72-5.16],99.57,9.6,9.07,96.49,17.2,31.73,67.9,0.02 [0.01-0.03],4.2 [4.01-4.39],77.58,,61.92,8 [6-11],3.12 [2.91-3.34]
Cuba,43862,0.32,29.4,7.1 [6.1-8.2],5.58 [5.04-6.2],89.67,52.5,5.67,92.43,16.6,77.69,68.05,0.2 [0.11-0.31],4.2 [3.79-4.67],77.91,,,38 [35-41],2.35 [2.1-2.63]
Cyprus,3,0.1,37.5,6.2 [5.3-7.2],2.75 [2.4-3.14],99.55,4.9,10.76,99.26,11.5,26.24,71.63,No data,2.22 [1.94-2.54],82.01,,40.35,7 [4-11],1.58 [1.31-1.9]
Czechia,3,0.3,32.1,5.5 [4.7-6.4],3.15 [3.02-3.28],99.82,11.6,14.25,99.14,15.5,39.52,68.29,No data,2.52 [2.42-2.63],78.46,,83.71,4 [2-5],1.59 [1.48-1.7]
Democratic People's Republic of Korea,6082191,1.94,19.2,513 [446-584],21.1 [16.51-27],91.62,,3.82,81.67,25.8,,64.3,No data,16 [12.5-20.43],71.76,0.75,,91 [40-204],11.58 [6.96-17.17]
Democratic Republic of the Congo,52564709,3.26,,324 [210-463],97.23 [70.76-128.9],22.34,,2.05,20.44,19.4,,52.43,0.32 [0.23-0.42],73.81 [56.97-91.5],60.44,308.8,9.48,490 [360-690],29.63 [20.35-41.18]
Denmark,0,0.16,20.8,6.5 [5.5-7.5],4.09 [3.9-4.29],100.0,2.3,10.36,99.6,11.7,39.26,70.53,No data,3.49 [3.33-3.67],80.59,,102.4,4 [3-5],3.27 [2.9-3.61]
Djibouti,108810,2.34,,367 [281-465],65.32 [44.01-94.41],47.96,,0.49,61.09,19.5,,57.0,0.22 [0.12-0.44],54.25 [37.9-75.3],64.64,13.82,,247 [120-518],33.45 [21.9-50.18]
Dominica,7546,,,11 [9.7-13],30.88 [27.86-34.96],96.5,,11.32,77.89,,,,,27.27 [24.39-30.6],,,66.99,,24.61 [21.62-27.92]
