Location,NTDs,Poisoning,Tobacco,Tuberculosis,Under5Mortality,DrinkingWater,Alcohol,BasicSanitization,CancerEtc,HALE,InfantMortality,LifeExpectancy,MaternalMortality,NeonatalMortality,BMI30Plus
Denmark,0,0.16,20.8,6.5,4.09,100.0,10.36,99.6,11.7,70.53,3.49,80.59,4.0,3.27,19.3
Djibouti,108810,2.34,,367.0,65.32,47.96,0.49,61.09,19.5,57.0,54.25,64.64,247.0,33.45,13.2
Dominica,7546,,,11.0,30.88,96.5,11.32,77.89,,,27.27,,,24.61,27.3
Dominican Republic,989731,0.38,10.5,55.0,31.29,89.36,6.61,83.18,19.1,63.21,26.0,71.75,94.0,21.41,26.9
Ecuador,1943932,0.65,,39.0,15.1,81.88,4.98,86.1,13.4,67.49,12.99,77.18,63.0,7.89,19.4
Egypt,1640557,0.22,21.3,15.0,23.4,98.57,0.4,93.97,28.2,62.0,19.86,70.49,39.0,12.85,31.3
El Salvador,702992,0.23,13.6,48.0,15.3,89.25,3.59,87.01,14.1,63.46,13.16,73.25,48.0,7.6,24.0
Equatorial Guinea,466357,2.01,,172.0,93.99,30.78,9.08,66.18,22.0,52.9,68.14,61.13,296.0,31.59,7.7
Eritrea,1441264,4.39,7.9,102.0,46.31,27.8,1.42,11.84,24.2,54.1,33.99,62.29,518.0,19.4,4.8
Estonia,12,0.49,32.1,18.0,3.15,99.19,12.39,99.13,16.9,68.26,2.46,77.6,10.0,1.42,20.9
Eswatini,331005,3.35,10.8,648.0,59.23,59.37,9.84,57.87,26.6,46.91,45.85,54.05,435.0,19.64,16.1
Ethiopia,75106161,2.97,4.9,192.0,62.23,29.11,2.19,6.86,18.4,58.32,43.14,66.82,446.0,31.76,4.3
Fiji,898821,0.45,27.4,52.0,24.31,88.84,3.33,94.54,30.8,59.58,20.58,67.83,35.0,9.93,29.5
Finland,2,0.23,20.9,5.6,2.49,100.0,11.18,99.45,10.5,70.73,2.03,81.21,3.0,1.4,21.8
France,222,0.47,34.5,8.4,4.12,100.0,12.64,98.65,10.8,71.7,3.47,81.91,8.0,2.41,21.2
Gabon,1560166,0.97,,537.0,49.83,55.05,9.57,47.32,14.8,56.29,35.78,64.93,261.0,22.21,14.6
Gambia,171850,1.96,15.3,173.0,60.04,63.37,3.67,39.01,20.6,55.83,39.8,64.14,625.0,29.89,9.9
Georgia,65,0.81,30.4,99.0,10.52,95.26,9.61,90.49,24.9,64.2,9.36,72.58,27.0,6.69,21.1
Germany,867,0.14,28.9,7.3,3.93,100.0,13.06,99.22,12.5,70.07,3.3,80.42,5.0,2.3,21.9
Ghana,15536903,1.65,4.0,160.0,54.56,66.04,3.12,17.15,20.9,56.49,38.75,64.55,320.0,25.84,10.5
Greece,81,0.24,40.6,4.7,4.4,100.0,10.49,98.98,12.3,70.43,3.88,80.38,3.0,2.66,24.4
Grenada,25,0.34,,5.2,16.21,95.63,9.07,91.49,21.7,63.85,14.25,72.7,25.0,10.66,20.7
Guatemala,3321447,1.17,,26.0,28.28,88.97,2.55,64.98,14.9,61.48,23.68,70.95,103.0,14.02,20.6
Guinea,7973039,3.08,,177.0,107.9,49.72,1.07,21.06,22.6,51.51,68.72,58.81,699.0,31.9,7.4
Guinea-Bissau,1731541,2.2,,361.0,90.68,52.76,5.05,19.82,19.8,50.92,59.23,58.23,694.0,38.45,9.1
Guyana,747901,0.72,13.8,93.0,33.1,100.0,7.35,85.35,30.6,57.17,27.37,65.59,172.0,20.5,19.6
Haiti,9831829,2.69,8.8,194.0,70.51,42.42,2.69,32.5,26.7,54.59,53.21,62.61,488.0,27.13,21.8
Honduras,2399777,0.39,,40.0,19.27,87.31,3.49,79.22,14.0,61.33,16.49,69.82,67.0,10.52,20.8
Hungary,14,0.29,31.9,10.0,5.12,100.0,11.6,98.0,23.3,66.6,4.27,75.57,12.0,2.73,25.9
Iceland,0,0.21,15.7,2.4,2.23,100.0,8.74,98.78,9.3,71.9,1.76,82.14,4.0,1.13,21.5
India,668000000,2.45,29.6,217.0,43.52,88.9,5.54,54.35,23.5,59.14,34.94,69.31,158.0,25.87,3.7
Indonesia,111000000,0.41,38.2,325.0,27.77,80.16,0.6,69.38,26.5,62.33,23.29,70.61,192.0,14.53,6.5
Iran (Islamic Republic of),18692,1.2,15.1,16.0,16.06,89.01,1.01,88.29,15.1,65.66,13.81,76.66,17.0,9.96,25.2
Iraq,2107072,0.52,22.9,43.0,29.52,86.56,0.37,90.74,21.6,60.8,24.65,70.29,83.0,17.44,29.8
Ireland,5,0.21,25.3,7.3,3.71,96.99,12.47,91.05,10.5,70.66,3.18,81.14,6.0,2.4,24.7
Israel,231,0.16,26.2,4.0,3.92,100.0,3.86,100.0,9.7,71.84,3.16,81.93,3.0,2.09,25.8
Italy,234,0.27,23.8,6.6,3.46,99.38,7.59,98.77,9.8,71.56,2.95,82.21,2.0,2.13,19.6
Jamaica,343044,0.21,12.0,4.5,15.62,84.4,4.19,86.95,14.8,66.59,13.43,75.85,78.0,11.22,24.1
Japan,11,0.41,23.4,16.0,2.75,98.93,7.87,99.91,8.6,73.62,2.01,83.62,5.0,0.92,4.1
Jordan,70,0.63,,5.7,17.61,97.78,0.69,97.53,19.4,67.59,15.12,77.82,48.0,10.36,34.9
Kazakhstan,25,2.56,25.7,81.0,11.82,89.76,4.66,97.74,28.6,63.35,10.54,71.91,12.0,5.55,20.5
Kenya,13642040,1.82,12.7,380.0,49.59,48.18,2.77,29.55,13.3,56.08,35.32,64.17,353.0,22.71,6.8
Kiribati,33294,2.59,54.2,559.0,57.4,69.08,0.52,45.36,28.5,51.62,44.58,58.2,97.0,23.83,45.3
Kuwait,0,0.19,22.6,22.0,8.71,100.0,0.003,100.0,17.6,70.23,7.46,81.13,11.0,4.91,37.4
Kyrgyzstan,111901,0.69,28.4,136.0,22.33,81.39,7.59,96.54,26.2,63.74,19.89,71.59,66.0,14.69,16.0
Lao People's Democratic Republic,2183066,0.92,40.9,182.0,53.61,71.11,10.05,69.39,27.1,59.29,41.99,67.08,209.0,24.44,5.0
Latvia,14,0.85,37.3,40.0,4.97,97.88,12.64,91.42,22.2,65.76,4.22,74.8,23.0,2.59,23.3
Lebanon,6,0.3,42.6,12.0,8.28,92.26,1.65,95.36,17.9,65.67,7.08,75.98,29.0,4.81,31.4
Lesotho,523534,3.16,28.0,780.0,94.06,59.79,4.8,39.06,26.6,41.64,71.88,47.67,574.0,43.39,16.2
Liberia,3812536,1.81,9.1,308.0,90.96,60.81,5.7,16.69,17.2,52.47,66.12,61.17,691.0,33.03,9.6
Libya,1640,0.51,,40.0,13.32,97.64,0.029,99.86,19.7,64.35,11.41,74.6,70.0,7.49,31.9
Lithuania,42,0.77,28.5,55.0,4.94,90.72,15.38,92.27,22.2,65.28,4.02,74.38,9.0,2.33,26.0
Luxembourg,0,0.1,22.9,6.1,2.9,100.0,13.18,97.61,9.6,71.53,2.37,82.31,5.0,1.53,22.2
Madagascar,21298533,3.33,30.7,233.0,57.87,34.78,1.88,9.74,23.1,56.3,40.66,64.19,363.0,21.81,5.1
