"","Location","NTDs","Poisoning","Tuberculosis","Under5Mortality","DrinkingWater","Alcohol","BasicSanitization","CancerEtc","HALE","InfantMortality","LifeExpectancy","MaternalMortality","NeonatalMortality"
"56","Ethiopia",75106161,2.97,192,62.23,29.11,2.19,6.86,18.4,58.32,43.14,66.82,446,31.76
"57","Fiji",898821,0.45,52,24.31,88.84,3.33,94.54,30.8,59.58,20.58,67.83,35,9.93
"58","Finland",2,0.23,5.6,2.49,100,11.18,99.45,10.5,70.73,2.03,81.21,3,1.4
"59","France",222,0.47,8.4,4.12,100,12.64,98.65,10.8,71.7,3.47,81.91,8,2.41
"60","Gabon",1560166,0.97,537,49.83,55.05,9.57,47.32,14.8,56.29,35.78,64.93,261,22.21
"61","Gambia",171850,1.96,173,60.04,63.37,3.67,39.01,20.6,55.83,39.8,64.14,625,29.89
"62","Georgia",65,0.81,99,10.52,95.26,9.61,90.49,24.9,64.2,9.36,72.58,27,6.69
"63","Germany",867,0.14,7.3,3.93,100,13.06,99.22,12.5,70.07,3.3,80.42,5,2.3
"64","Ghana",15536903,1.65,160,54.56,66.04,3.12,17.15,20.9,56.49,38.75,64.55,320,25.84
"65","Greece",81,0.24,4.7,4.4,100,10.49,98.98,12.3,70.43,3.88,80.38,3,2.66
"66","Grenada",25,0.34,5.2,16.21,95.63,9.07,91.49,21.7,63.85,14.25,72.7,25,10.66
"67","Guatemala",3321447,1.17,26,28.28,88.97,2.55,64.98,14.9,61.48,23.68,70.95,103,14.02
"68","Guinea",7973039,3.08,177,107.9,49.72,1.07,21.06,22.6,51.51,68.72,58.81,699,31.9
"69","Guinea-Bissau",1731541,2.2,361,90.68,52.76,5.05,19.82,19.8,50.92,59.23,58.23,694,38.45
"70","Guyana",747901,0.72,93,33.1,100,7.35,85.35,30.6,57.17,27.37,65.59,172,20.5
"71","Haiti",9831829,2.69,194,70.51,42.42,2.69,32.5,26.7,54.59,53.21,62.61,488,27.13
"72","Honduras",2399777,0.39,40,19.27,87.31,3.49,79.22,14,61.33,16.49,69.82,67,10.52
"73","Hungary",14,0.29,10,5.12,100,11.6,98,23.3,66.6,4.27,75.57,12,2.73
"74","Iceland",0,0.21,2.4,2.23,100,8.74,98.78,9.3,71.9,1.76,82.14,4,1.13
"75","India",668000000,2.45,217,43.52,88.9,5.54,54.35,23.5,59.14,34.94,69.31,158,25.87
"76","Indonesia",111000000,0.41,325,27.77,80.16,0.6,69.38,26.5,62.33,23.29,70.61,192,14.53
"77","Iran (Islamic Republic of)",18692,1.2,16,16.06,89.01,1.01,88.29,15.1,65.66,13.81,76.66,17,9.96
"78","Iraq",2107072,0.52,43,29.52,86.56,0.37,90.74,21.6,60.8,24.65,70.29,83,17.44
"79","Ireland",5,0.21,7.3,3.71,96.99,12.47,91.05,10.5,70.66,3.18,81.14,6,2.4
"80","Israel",231,0.16,4,3.92,100,3.86,100,9.7,71.84,3.16,81.93,3,2.09
"81","Italy",234,0.27,6.6,3.46,99.38,7.59,98.77,9.8,71.56,2.95,82.21,2,2.13
"82","Jamaica",343044,0.21,4.5,15.62,84.4,4.19,86.95,14.8,66.59,13.43,75.85,78,11.22
