Location,GDP_currentUSD,HealthExpGDPperc,HALE,LifeExpectancy,NeonatalMortality
Mauritania,6166857629,4.70125389,58.95,67.41,34.83
Mauritius,11692287066,5.6999588,64.03,74.14,9.06
Mexico,1.17E+12,5.79708719,65.76,75.87,8.3
Micronesia (Federated States of),316489900,12.49603271,55.8,62.74,17.3
Monaco,6261622101,2.02833343,,,1.95
Mongolia,11749620620,4.23834133,59.85,67.61,9.6
Montenegro,4053097851,,66.64,75.27,2.1
Morocco,1.01E+11,5.07174492,63.29,72.46,16.13
Mozambique,15950969019,7.23973656,48.6,55.95,30.89
Myanmar,67822772707,5.4778142,59.56,67.58,24.76
Namibia,11272143473,9.70993042,54.57,62.87,20.25
Nauru,86779266.16,15.1927681,,,22.02
Nepal,21410840909,6.21927214,60.17,69.43,22.43
Netherlands,7.65E+11,10.32396889,71.12,81.28,2.63
New Zealand,1.77E+11,9.31466961,69.89,81.31,3.13
Nicaragua,12756706583,7.96303225,65.16,74.62,11.94
Niger,9685577941,7.13803673,54.14,61.54,26.53
Nigeria,4.87E+11,3.58195019,53.13,61.16,37.14
Niue,,,,,14.18
Norway,3.86E+11,10.13146877,71.23,82.01,1.59
Oman,68399663322,4.3044014,63.75,72.52,5.18
Pakistan,2.71E+11,2.68711925,55.78,64.18,45.22
Palau,280457700,11.39383602,,,10.65
Panama,54091700000,6.8090291,68.28,78.72,9.8
Papua New Guinea,21723531182,1.81881714,56.42,64.49,23.71
Paraguay,36164068797,6.74699259,65.63,75.56,12.41
Peru,1.90E+11,5.03110838,68.85,79.08,7.57
Philippines,3.06E+11,4.32136869,61.91,70.3,14.42
Poland,4.78E+11,6.39785814,68.03,77.29,2.9
Portugal,1.99E+11,8.97663212,70.49,80.89,2.1
Qatar,1.62E+11,3.17197657,66.44,76.41,3.97
Republic of Korea,1.47E+12,6.65271664,72.03,82.2,1.63
Republic of Moldova,7745231660,8.55763531,62.86,71.13,11.61
The former Yugoslav Republic of Macedonia,10064515432,6.34227896,65.33,73.73,9.59
Romania,1.78E+11,4.94264841,66.28,74.82,4.29
Russian Federation,1.36E+12,5.29560423,62.67,71.3,3.87
Rwanda,8545441361,6.86232901,58.87,67.69,17.86
Saint Kitts and Nevis,923155555.6,5.31862164,,,11.3
Saint Lucia,1808079889,4.60818338,65.25,75.01,12.61
Saint Vincent and the Grenadines,755400000,4.08409452,63.51,72.47,10.58
